,URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,WORD COUNT,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,COMPLEX WORD COUNT,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
18,19,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,68,42,0.24,862,0.13,10.1,205,0.24,4.136,10.14,2.308584686774942,3,5.402597402597403
19,20,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,68,31,0.37,683,0.14,7.4,126,0.18,3.032,7.42,2.05710102489019,17,4.802252816020025
20,21,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,66,27,0.42,778,0.12,10.1,161,0.21,4.1240000000000006,10.1,2.1863753213367607,16,5.084805653710247
21,22,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,49,27,0.29,549,0.14,9.8,133,0.24,4.016000000000001,9.8,2.143897996357013,21,5.0
22,23,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,31,11,0.48,345,0.12,7.7,69,0.2,3.16,7.67,2.118840579710145,7,5.054421768707483
23,24,https://insights.blackcoffer.com/how-neural-networks-can-be-applied-in-various-areas-in-the-future/,61,40,0.21,663,0.15,9.8,148,0.22,4.008000000000001,9.75,2.20211161387632,18,5.092881355932203
24,25,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,37,14,0.45,320,0.16,8.9,47,0.15,3.6200000000000006,8.89,1.940625,2,4.834042553191489
25,26,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,75,45,0.25,1004,0.12,12.4,188,0.19,5.0360000000000005,12.4,2.105577689243028,11,4.944263817928472
26,27,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,47,72,-0.21,920,0.13,10.1,151,0.16,4.104,10.11,2.0804347826086955,1,5.169289202387412
27,28,https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,38,24,0.23,606,0.1,10.4,128,0.21,4.244000000000001,10.45,2.293729372937294,10,5.437394247038917
28,29,https://insights.blackcoffer.com/ai-human-robotics-machine-future-planet-blackcoffer-thinking-jobs-workplace/,39,31,0.11,602,0.12,7.4,112,0.19,3.0360000000000005,7.43,2.0913621262458473,6,5.032151690024732
29,30,https://insights.blackcoffer.com/how-ai-will-change-the-world-blackcoffer/,67,26,0.44,669,0.14,11.0,129,0.19,4.476,10.97,2.219730941704036,32,4.816858702243784
30,31,https://insights.blackcoffer.com/future-of-work-how-ai-has-entered-the-workplace/,73,22,0.54,729,0.13,9.1,159,0.22,3.728,9.11,2.174211248285322,11,5.129388816644994
31,32,https://insights.blackcoffer.com/ai-tool-alexa-google-assistant-finance-banking-tool-future/,27,0,1.0,273,0.1,12.4,57,0.21,5.0440000000000005,12.41,2.208791208791209,0,5.420118343195266
32,33,https://insights.blackcoffer.com/ai-healthcare-revolution-ml-technology-algorithm-google-analytics-industrialrevolution/,87,39,0.38,731,0.17,81.2,151,0.21,32.564,81.22,2.094391244870041,15,4.782825484764543
33,34,https://insights.blackcoffer.com/all-you-need-to-know-about-online-marketing/,24,0,1.0,362,0.07,8.0,59,0.16,3.2640000000000002,8.04,2.1519337016574585,0,5.086321381142098
34,35,https://insights.blackcoffer.com/evolution-of-advertising-industry/,17,6,0.48,359,0.06,9.0,72,0.2,3.6799999999999997,8.98,2.367688022284123,1,5.449645390070922
35,36,https://insights.blackcoffer.com/how-data-analytics-can-help-your-business-respond-to-the-impact-of-covid-19/,0,3,-1.0,81,0.04,11.6,19,0.23,4.732,11.57,2.2098765432098766,2,5.329670329670329
36,37,https://insights.blackcoffer.com/covid-19-environmental-impact-for-the-future/,38,42,-0.05,490,0.16,9.4,113,0.23,3.8520000000000003,9.42,2.126530612244898,31,5.166503428011753
37,38,https://insights.blackcoffer.com/environmental-impact-of-the-covid-19-pandemic-lesson-for-the-future/,25,80,-0.52,676,0.16,12.3,126,0.19,4.996,12.29,2.0606508875739644,2,5.1002178649237475
38,39,https://insights.blackcoffer.com/how-data-analytics-and-ai-are-used-to-halt-the-covid-19-pandemic/,17,16,0.03,345,0.1,11.9,75,0.22,4.848000000000001,11.9,2.0579710144927534,4,4.939310344827586
39,40,https://insights.blackcoffer.com/difference-between-artificial-intelligence-machine-learning-statistics-and-data-mining/,58,43,0.15,811,0.12,7.4,125,0.15,3.0200000000000005,7.37,2.127003699136868,10,4.861052631578947
40,41,https://insights.blackcoffer.com/how-python-became-the-first-choice-for-data-science/,40,4,0.82,310,0.14,7.0,70,0.23,2.8920000000000003,7.05,2.1806451612903226,4,5.123664122137405
41,42,https://insights.blackcoffer.com/how-google-fit-measure-heart-and-respiratory-rates-using-a-phone/,4,2,0.33,198,0.03,11.6,31,0.16,4.704,11.65,1.8585858585858586,0,4.997347480106101
42,43,https://insights.blackcoffer.com/what-is-the-future-of-mobile-apps/,25,8,0.52,378,0.09,10.8,57,0.15,4.380000000000001,10.8,1.970899470899471,4,4.81087762669963
43,45,https://insights.blackcoffer.com/impact-of-ai-in-health-and-medicine/,15,8,0.3,259,0.09,13.6,66,0.25,5.54,13.63,2.0965250965250966,1,5.235169491525424
44,46,https://insights.blackcoffer.com/telemedicine-what-patients-like-and-dislike-about-it/,27,9,0.5,152,0.24,5.4,34,0.22,2.248,5.43,2.1973684210526314,0,5.145833333333333
45,47,https://insights.blackcoffer.com/how-we-forecast-future-technologies/,5,0,1.0,84,0.06,7.6,20,0.24,3.136,7.64,2.4404761904761907,2,5.367088607594937
46,48,https://insights.blackcoffer.com/can-robots-tackle-late-life-loneliness/,24,38,-0.23,342,0.18,6.1,60,0.18,2.512,6.11,1.9385964912280702,19,4.753731343283582
47,49,https://insights.blackcoffer.com/embedding-care-robots-into-society-socio-technical-considerations/,9,3,0.5,83,0.14,9.2,16,0.19,3.756,9.22,2.0,1,4.793478260869565
48,50,https://insights.blackcoffer.com/management-challenges-for-future-digitalization-of-healthcare-services/,44,12,0.57,360,0.16,11.6,77,0.21,4.724,11.61,2.2805555555555554,0,5.603244837758112
49,51,https://insights.blackcoffer.com/are-we-any-closer-to-preventing-a-nuclear-holocaust/,1,7,-0.75,61,0.13,10.2,12,0.2,4.159999999999999,10.17,1.9508196721311475,4,4.660130718954249
50,52,https://insights.blackcoffer.com/will-technology-eliminate-the-need-for-animal-testing-in-drug-development/,9,25,-0.47,145,0.23,6.6,29,0.2,2.72,6.59,2.1586206896551725,6,4.611979166666667
51,53,https://insights.blackcoffer.com/will-we-ever-understand-the-nature-of-consciousness/,28,54,-0.32,843,0.1,11.4,209,0.25,4.66,11.39,2.2752075919335706,16,5.365171811298777
52,54,https://insights.blackcoffer.com/will-we-ever-colonize-outer-space/,42,23,0.29,721,0.09,10.4,142,0.2,4.24,10.45,2.0069348127600555,20,4.733676975945017
53,55,https://insights.blackcoffer.com/what-is-the-chance-homo-sapiens-will-survive-for-the-next-500-years/,40,36,0.05,673,0.11,8.2,130,0.19,3.356,8.21,1.9479940564635958,18,4.842827728208648
54,56,https://insights.blackcoffer.com/why-does-your-business-need-a-chatbot/,24,7,0.55,325,0.1,5.2,64,0.2,2.16,5.24,2.0338461538461536,1,4.505800464037123
55,57,https://insights.blackcoffer.com/how-you-lead-a-project-or-a-team-without-any-technical-expertise/,45,7,0.73,505,0.1,7.7,96,0.19,3.1560000000000006,7.65,2.0752475247524753,4,4.563031161473088
56,58,https://insights.blackcoffer.com/can-you-be-great-leader-without-technical-expertise/,34,6,0.7,174,0.23,10.9,42,0.24,4.456,10.88,2.235632183908046,8,4.684434968017057
57,59,https://insights.blackcoffer.com/how-does-artificial-intelligence-affect-the-environment/,43,17,0.43,806,0.07,11.7,158,0.2,4.76,11.68,2.1439205955334986,8,5.1517632241813605
58,60,https://insights.blackcoffer.com/how-to-overcome-your-fear-of-making-mistakes-2/,27,77,-0.48,390,0.27,5.1,79,0.2,2.12,5.13,2.0076923076923077,13,4.778904665314402
59,61,https://insights.blackcoffer.com/is-perfection-the-greatest-enemy-of-productivity/,61,24,0.44,457,0.19,5.9,50,0.11,2.4040000000000004,5.94,1.8665207877461707,5,4.541406945681211
60,62,https://insights.blackcoffer.com/global-financial-crisis-2008-causes-effects-and-its-solution/,21,35,-0.25,500,0.11,11.6,58,0.12,4.688,11.63,1.83,2,4.8088235294117645
61,63,https://insights.blackcoffer.com/gender-diversity-and-equality-in-the-tech-industry/,26,26,0.0,526,0.1,8.8,118,0.22,3.6080000000000005,8.77,2.3536121673003803,9,5.24860853432282
62,64,https://insights.blackcoffer.com/how-to-overcome-your-fear-of-making-mistakes/,25,82,-0.53,403,0.27,5.5,86,0.21,2.2840000000000003,5.52,2.029776674937965,15,4.807920792079208
63,65,https://insights.blackcoffer.com/how-small-business-can-survive-the-coronavirus-crisis/,21,13,0.24,305,0.11,10.5,67,0.22,4.288,10.52,2.019672131147541,5,4.8234421364985165
64,66,https://insights.blackcoffer.com/impacts-of-covid-19-on-vegetable-vendors-and-food-stalls/,8,8,0.0,135,0.12,12.3,28,0.21,5.004000000000001,12.27,2.051851851851852,0,4.864864864864865
65,67,https://insights.blackcoffer.com/impacts-of-covid-19-on-vegetable-vendors/,24,20,0.09,381,0.12,15.9,78,0.2,6.440000000000001,15.88,2.073490813648294,0,5.2462787550744245
66,68,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-tourism-aviation-industries/,20,33,-0.25,573,0.09,10.2,111,0.19,4.156,10.23,1.9860383944153577,5,5.079273327828241
67,69,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-sports-events-around-the-world/,44,13,0.54,1881,0.03,9.6,131,0.07,3.8680000000000003,9.65,1.8118022328548644,0,5.054037644201578
68,70,https://insights.blackcoffer.com/changing-landscape-and-emerging-trends-in-the-indian-it-ites-industry/,37,54,-0.19,787,0.12,9.5,152,0.19,3.876,9.48,2.0864040660736975,10,4.984473835537665
69,71,https://insights.blackcoffer.com/online-gaming-adolescent-online-gaming-effects-demotivated-depression-musculoskeletal-and-psychosomatic-symptoms/,30,74,-0.42,797,0.13,13.3,174,0.22,5.408000000000001,13.28,2.1606022584692597,0,5.490514905149052
70,72,https://insights.blackcoffer.com/human-rights-outlook/,4,1,0.6,59,0.08,8.4,10,0.17,3.4280000000000004,8.43,1.8135593220338984,2,4.555555555555555
71,73,https://insights.blackcoffer.com/how-voice-search-makes-your-business-a-successful-business/,31,4,0.77,366,0.1,9.4,59,0.16,3.8240000000000003,9.38,1.8907103825136613,2,4.978571428571429
72,74,https://insights.blackcoffer.com/how-the-covid-19-crisis-is-redefining-jobs-and-services/,38,35,0.04,717,0.1,6.0,142,0.2,2.4800000000000004,5.98,2.214783821478382,6,4.892307692307693
73,75,https://insights.blackcoffer.com/how-to-increase-social-media-engagement-for-marketers/,53,15,0.56,785,0.09,8.6,139,0.18,3.512,8.63,2.0216560509554142,5,5.007793764988009
74,76,https://insights.blackcoffer.com/impacts-of-covid-19-on-streets-sides-food-stalls/,33,35,-0.03,512,0.13,11.1,94,0.18,4.512,11.13,2.001953125,3,4.997167138810198
75,77,https://insights.blackcoffer.com/coronavirus-impact-on-energy-markets-2/,17,45,-0.45,886,0.07,14.8,166,0.19,5.996,14.77,2.1963882618510158,1,5.22928821470245
76,78,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-5/,17,45,-0.45,452,0.14,9.4,89,0.2,3.84,9.42,2.148230088495575,5,5.034627492130116
77,79,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis-4/,37,56,-0.2,511,0.18,7.0,105,0.21,2.8840000000000003,7.0,2.0782778864970646,37,4.8127062706270625
78,80,https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work-2/,27,28,-0.02,485,0.11,13.1,107,0.22,5.328,13.11,2.1649484536082473,12,4.957272727272727
79,81,https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work-3/,25,43,-0.26,650,0.1,11.6,129,0.2,4.72,11.61,2.0676923076923077,3,5.264182895850974
80,82,https://insights.blackcoffer.com/travel-and-tourism-outlook/,4,3,0.14,75,0.09,7.5,13,0.17,3.068,7.5,1.7866666666666666,2,4.491978609625669
81,83,https://insights.blackcoffer.com/gaming-disorder-and-effects-of-gaming-on-health/,28,46,-0.24,510,0.15,8.5,112,0.22,3.4880000000000004,8.5,1.996078431372549,13,4.816773017319964
82,84,https://insights.blackcoffer.com/what-is-the-repercussion-of-the-environment-due-to-the-covid-19-pandemic-situation/,9,27,-0.5,303,0.12,8.7,55,0.18,3.5519999999999996,8.66,2.0,4,5.0448
83,85,https://insights.blackcoffer.com/what-is-the-repercussion-of-the-environment-due-to-the-covid-19-pandemic-situation-2/,28,64,-0.39,575,0.16,11.5,135,0.23,4.692,11.5,2.2069565217391305,4,5.25625
84,86,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-office-space-and-co-working-industries/,21,36,-0.26,415,0.14,10.9,64,0.15,4.420000000000001,10.92,2.031325301204819,7,4.705009276437848
85,87,https://insights.blackcoffer.com/contribution-of-handicrafts-visual-arts-literature-in-the-indian-economy/,2,0,1.0,91,0.02,18.2,19,0.21,7.364000000000001,18.2,2.065934065934066,0,5.324324324324325
86,88,https://insights.blackcoffer.com/how-covid-19-is-impacting-payment-preferences/,13,3,0.62,247,0.06,8.8,42,0.17,3.5880000000000005,8.82,1.9190283400809716,4,4.743068391866913
87,89,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,29,59,-0.34,444,0.2,14.3,103,0.23,5.812000000000001,14.32,2.1554054054054053,3,5.185945945945946
88,90,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis/,28,29,-0.02,250,0.23,8.3,32,0.13,3.3720000000000008,8.33,1.728,42,4.244105409153953
89,91,https://insights.blackcoffer.com/covid-19-how-have-countries-been-responding/,7,43,-0.72,548,0.09,11.7,103,0.19,4.755999999999999,11.66,1.9069343065693432,0,5.20945945945946
90,92,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-2/,17,37,-0.37,481,0.11,9.2,74,0.15,3.74,9.25,2.1642411642411643,0,5.285296981499513
91,93,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-3/,34,57,-0.25,535,0.17,10.1,131,0.24,4.136,10.09,2.0504672897196263,3,5.314285714285714
92,94,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-3/,18,21,-0.08,362,0.11,10.6,73,0.2,4.319999999999999,10.65,2.149171270718232,8,5.050314465408805
93,95,https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work/,53,52,0.01,734,0.14,10.6,115,0.16,4.304,10.64,2.016348773841962,4,4.853110968569596
94,96,https://insights.blackcoffer.com/covid-19-how-have-countries-been-responding-2/,24,42,-0.27,756,0.09,12.8,163,0.22,5.208000000000001,12.81,2.1600529100529102,3,5.097934710193204
95,97,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-4/,26,26,0.0,360,0.14,32.7,45,0.12,13.128,32.73,1.6777777777777778,46,4.273660205245154
96,98,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis-2/,43,88,-0.34,880,0.15,13.3,161,0.18,5.392,13.33,2.025,11,5.19849537037037
97,99,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis-3/,38,56,-0.19,501,0.19,6.5,72,0.14,2.656,6.51,1.7964071856287425,7,4.4976
98,100,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-4/,11,15,-0.15,174,0.15,11.6,42,0.24,4.736,11.6,2.3735632183908044,1,5.445783132530121
99,101,https://insights.blackcoffer.com/why-scams-like-nirav-modi-happen-with-indian-banks/,51,99,-0.32,1191,0.13,13.5,211,0.18,5.472,13.53,2.0730478589420653,6,5.21138590760616
100,102,https://insights.blackcoffer.com/impact-of-covid-19-on-the-global-economy/,36,65,-0.29,578,0.17,9.2,95,0.16,3.7439999999999998,9.17,1.8823529411764706,36,4.471214017521902
101,103,https://insights.blackcoffer.com/impact-of-covid-19coronavirus-on-the-indian-economy-2/,33,72,-0.37,811,0.13,9.5,144,0.18,3.872,9.54,2.0135635018495686,12,4.986478542034098
102,104,https://insights.blackcoffer.com/impact-of-covid-19-on-the-global-economy-2/,40,88,-0.37,853,0.15,11.4,156,0.18,4.632000000000001,11.37,2.0433763188745604,11,5.008869179600887
103,105,https://insights.blackcoffer.com/impact-of-covid-19-coronavirus-on-the-indian-economy-3/,20,43,-0.37,452,0.14,9.2,82,0.18,3.752,9.22,2.059734513274336,9,4.89065606361829
104,106,https://insights.blackcoffer.com/should-celebrities-be-allowed-to-join-politics/,61,22,0.47,858,0.1,13.4,186,0.22,5.448,13.41,2.1386946386946386,2,5.172413793103448
105,107,https://insights.blackcoffer.com/how-prepared-is-india-to-tackle-a-possible-covid-19-outbreak/,19,25,-0.14,401,0.11,12.2,83,0.21,4.964,12.15,2.092269326683292,3,5.040332147093713
106,108,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work/,38,90,-0.41,659,0.19,11.8,126,0.19,4.796,11.77,2.08649468892261,7,5.143396226415095
107,109,https://insights.blackcoffer.com/controversy-as-a-marketing-strategy/,8,17,-0.36,127,0.2,8.5,23,0.18,3.472,8.47,2.0866141732283463,4,4.989690721649485
108,110,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry/,5,9,-0.29,243,0.06,11.6,43,0.18,4.712,11.57,2.065843621399177,1,5.215189873417722
109,111,https://insights.blackcoffer.com/coronavirus-impact-on-energy-markets/,24,70,-0.49,962,0.1,19.6,118,0.12,7.888000000000002,19.63,1.9812889812889813,3,5.221223021582734
110,112,https://insights.blackcoffer.com/what-are-the-key-policies-that-will-mitigate-the-impacts-of-covid-19-on-the-world-of-work/,86,32,0.46,888,0.13,12.5,194,0.22,5.088000000000001,12.51,2.126126126126126,0,5.290149253731343
111,113,https://insights.blackcoffer.com/marketing-drives-results-with-a-focus-on-problems/,30,23,0.13,670,0.08,11.4,108,0.16,4.6240000000000006,11.36,2.032835820895522,8,5.233333333333333
112,114,https://insights.blackcoffer.com/continued-demand-for-sustainability/,27,23,0.08,369,0.14,13.7,102,0.28,5.592,13.67,2.3360433604336044,0,5.783987915407855
113,115,https://insights.blackcoffer.com/coronavirus-disease-covid-19-effect-the-impact-and-role-of-mass-media-during-the-pandemic/,8,10,-0.11,178,0.1,13.7,46,0.26,5.584,13.69,2.191011235955056,4,5.374613003095975
114,116,https://insights.blackcoffer.com/should-people-wear-fabric-gloves-seeking-evidence-regarding-the-differential-transfer-of-covid-19-or-coronaviruses-generally-between-surfaces/,7,8,-0.07,137,0.11,8.6,17,0.12,3.4879999999999995,8.56,1.72992700729927,7,4.619047619047619
115,117,https://insights.blackcoffer.com/why-is-there-a-severe-immunological-and-inflammatory-explosion-in-those-affected-by-sarms-covid-19/,1,21,-0.91,174,0.13,8.3,41,0.24,3.4160000000000004,8.29,2.1551724137931036,5,4.758024691358025
116,118,https://insights.blackcoffer.com/what-do-you-think-is-the-lesson-or-lessons-to-be-learned-with-covid-19/,4,9,-0.38,104,0.12,13.0,23,0.22,5.288,13.0,2.0865384615384617,3,4.8354430379746836
117,119,https://insights.blackcoffer.com/coronavirus-the-unexpected-challenge-for-the-european-union/,5,12,-0.41,114,0.15,8.1,37,0.32,3.3680000000000003,8.14,2.1315789473684212,8,4.992277992277992
118,120,https://insights.blackcoffer.com/industrial-revolution-4-0-pros-and-cons/,6,0,1.0,87,0.07,12.4,27,0.31,5.0840000000000005,12.43,2.3563218390804597,0,5.1875
119,121,https://insights.blackcoffer.com/impact-of-covid-19-coronavirus-on-the-indian-economy/,14,50,-0.56,439,0.15,11.6,68,0.15,4.7,11.55,2.082004555808656,0,4.982795698924731
120,122,https://insights.blackcoffer.com/impact-of-covid-19-coronavirus-on-the-indian-economy-2/,5,22,-0.63,200,0.13,13.3,39,0.2,5.4,13.33,2.09,3,4.774468085106383
121,123,https://insights.blackcoffer.com/impact-of-covid-19coronavirus-on-the-indian-economy/,37,77,-0.35,876,0.13,11.8,191,0.22,4.808000000000001,11.84,2.1792237442922375,1,5.102209944751381
122,124,https://insights.blackcoffer.com/impact-of-covid-19-coronavirus-on-the-global-economy/,6,29,-0.66,298,0.12,8.8,52,0.17,3.5880000000000005,8.76,2.033557046979866,2,5.035889070146819
123,125,https://insights.blackcoffer.com/ensuring-growth-through-insurance-technology/,27,18,0.2,559,0.08,15.1,100,0.18,6.112,15.11,2.189624329159213,2,5.1062106210621065
124,126,https://insights.blackcoffer.com/blockchain-in-fintech/,11,11,0.0,329,0.07,10.0,60,0.18,4.072,9.97,2.142857142857143,2,5.163686382393397
125,127,https://insights.blackcoffer.com/blockchain-for-payments/,23,28,-0.1,471,0.11,9.8,114,0.24,4.016000000000001,9.81,2.0488322717622083,9,5.371203599550056
126,128,https://insights.blackcoffer.com/the-future-of-investing/,36,15,0.41,562,0.09,11.5,108,0.19,4.676,11.47,2.1156583629893237,2,5.178832116788321
127,129,https://insights.blackcoffer.com/big-data-analytics-in-healthcare/,39,50,-0.12,577,0.15,8.9,110,0.19,3.636,8.88,2.166377816291161,2,5.070984915705413
128,130,https://insights.blackcoffer.com/business-analytics-in-the-healthcare-industry/,37,6,0.72,285,0.15,11.4,77,0.27,4.668,11.4,2.414035087719298,0,5.587610619469027
129,131,https://insights.blackcoffer.com/challenges-and-opportunities-of-big-data-in-healthcare/,44,45,-0.01,507,0.18,7.8,107,0.21,3.204,7.8,2.16370808678501,8,5.021215043394407
130,132,https://insights.blackcoffer.com/obstacles-to-data-driven-healthcare/,33,27,0.1,520,0.12,14.9,97,0.19,6.0360000000000005,14.86,2.082692307692308,3,5.044731610337972
131,133,https://insights.blackcoffer.com/monetization-of-data-innovate-to-harvest-the-full-value-of-data/,35,12,0.49,412,0.11,9.8,100,0.24,4.016000000000001,9.81,2.354368932038835,0,5.312577833125778
132,134,https://insights.blackcoffer.com/traceability-of-information-master-your-data-capital/,26,16,0.24,496,0.08,11.5,121,0.24,4.696000000000001,11.53,2.4899193548387095,13,5.654945054945055
133,135,https://insights.blackcoffer.com/bank-risk-management-india/,26,24,0.04,402,0.12,8.9,82,0.2,3.64,8.93,1.9328358208955223,0,4.7284848484848485
134,136,https://insights.blackcoffer.com/advance-analytics-for-refocusing-profits/,60,21,0.48,673,0.12,9.5,155,0.23,3.8920000000000003,9.48,2.3298662704309065,0,5.53030303030303
135,137,https://insights.blackcoffer.com/role-of-big-data-analytics-banking-and-finance/,15,21,-0.17,411,0.09,9.8,83,0.2,4.0,9.79,2.223844282238443,0,5.052496798975672
136,138,https://insights.blackcoffer.com/mitigating-bank-risk-management/,14,29,-0.35,191,0.23,10.1,45,0.24,4.136,10.05,2.089005235602094,2,5.044502617801047
137,139,https://insights.blackcoffer.com/future-of-bank-risk-management/,23,57,-0.42,361,0.22,10.3,87,0.24,4.216,10.31,2.069252077562327,2,4.988476312419975
138,140,https://insights.blackcoffer.com/advanced-analytics-redefining-banking/,45,18,0.43,758,0.08,12.2,133,0.18,4.952,12.23,2.1899736147757256,18,5.167611846250788
139,141,https://insights.blackcoffer.com/marketing-analytics-needs/,59,2,0.93,668,0.09,8.8,136,0.2,3.6,8.79,2.338323353293413,7,5.294444444444444
140,142,https://insights.blackcoffer.com/big-data-analytics-to-bring-transparency-and-good-governance/,31,18,0.27,420,0.12,12.4,98,0.23,5.0520000000000005,12.35,2.316666666666667,0,5.370012091898428
